ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
461,0.004,679,3106,8.0
462,0.056,3151,3107,30.485281229019165
463,0.046,2505,3106,34.485281229019165
464,0.004,745,3103,8.0
465,0.0775,1433,3106,44.72792184352875
466,0.029,735,3100,23.656854152679443
467,0.0615,723,3102,32.72792184352875
468,0.014,676,3100,13.656854152679443
469,0.004,865,3097,8.0
470,0.014,2497,3097,13.656854152679443
471,0.196,5470,3102,58.627416491508484
472,0.0105,265,3088,13.41421353816986
473,0.073,5136,3077,41.31370830535889
474,1.2745,904,3091,210.26702558994293
475,111.7875,3614,3241,1730.6631153821945
476,49.1405,1130,3166,1181.9036691188812
477,0.006,5161,3019,10.0
478,0.026,5636,3016,19.656854152679443
479,3.2675,704,3059,435.6051186323166
480,0.162,1059,3021,58.62741661071777
481,0.014,1048,3010,13.656854152679443
482,0.0305,599,2993,25.071067690849304
483,0.192,1769,2983,54.627416372299194
484,0.004,529,2971,8.0
485,0.01,3365,2944,14.0
486,0.095,1363,2935,49.79898953437805
487,0.004,3373,2929,8.0
488,0.067,1508,2931,41.31370830535889
489,0.0315,5205,2920,22.242640614509583
490,0.0685,4843,2921,33.071067690849304
491,0.014,1429,2914,13.656854152679443
492,0.004,3868,2911,8.0
493,0.296,4861,2919,79.94112467765808
494,0.012,2822,2905,14.0
495,0.009,1264,2902,12.0
496,0.0145,1271,2899,15.41421353816986
497,3.8075,257,2947,306.2081503868103
498,0.1475,3937,2893,51.55634891986847
499,10.2435,1058,2940,412.7766921520233
500,0.004,3880,2881,8.0
501,24.638,850,2969,666.4406863451004
502,0.0085,3207,2871,11.41421353816986
503,0.0505,1169,2871,32.24264061450958
504,0.014,1180,2869,13.656854152679443
505,0.004,1129,2866,8.0
506,0.8495,2562,2875,117.8406195640564
507,0.006,1177,2860,10.0
508,0.092,1164,2864,67.4558435678482
509,0.082,3379,2868,58.14213538169861
510,28.089,85,3008,1516.454964876175
511,0.0535,2584,2845,29.071067690849304
512,4.226,1470,2883,297.279217839241
513,0.004,379,2830,8.0
514,0.1465,793,2832,64.04163002967834
515,0.006,1540,2824,10.0
516,0.2215,5032,2827,58.87005686759949
517,0.004,1573,2821,8.0
518,0.2255,374,2813,61.21320307254791
519,0.375,781,2810,93.11269783973694
520,0.006,5167,2802,10.0
521,0.0165,1924,2794,17.41421353816986
522,0.018,1753,2794,17.656854152679443
523,0.011,784,2794,12.828427076339722
524,0.0415,1928,2788,33.071067690849304
525,0.052,1252,2787,28.485281109809875
526,17.25,1341,2853,795.9554046392441
527,1.9845,3727,2816,238.26702558994293
528,233.1225,1587,3279,6735.30723297596
529,0.582,776,2778,120.91168737411499
530,0.004,3034,2749,8.0
531,0.004,2662,2746,8.0
532,10.2135,3860,2816,538.0904000997543
533,0.004,1801,2740,8.0
534,7.944,1188,2790,409.563489317894
535,0.004,2179,2728,8.0
536,0.027,5029,2718,19.656854152679443
537,5.234,3602,2731,336.24978029727936
538,4.153,1738,2726,334.10764491558075
539,78.3775,552,2827,1497.2661473751068
540,0.014,724,2674,13.656854152679443
541,0.8525,5247,2689,121.8406195640564
542,0.004,5077,2668,8.0
543,0.004,2071,2662,8.0
544,0.015,1919,2661,16.0
545,0.004,2281,2659,8.0
546,0.0145,2288,2658,15.41421353816986
547,0.014,3754,2656,13.656854152679443
548,14.06,5137,2760,856.7249561548233
549,0.616,5096,2663,128.08326017856598
550,0.545,763,2669,106.0832599401474
551,0.3365,728,2656,112.18376553058624
552,0.006,1921,2638,10.0
553,0.2475,3395,2644,61.21320283412933
554,19.5385,4927,2766,1204.6732207536697
555,0.014,742,2632,13.656854152679443
556,0.321,1291,2639,78.28427076339722
557,0.004,748,2629,8.0
558,2.0555,5018,2661,284.20815074443817
559,0.014,1900,2629,13.656854152679443
560,0.0725,408,2623,33.899494767189026
561,0.061,1280,2620,44.97056245803833
562,0.1155,743,2620,44.38477599620819
563,0.023,5033,2614,18.82842707633972
564,0.004,424,2608,8.0
565,3.0475,1226,2645,259.58073365688324
566,2.2045,3451,2630,233.58073437213898
567,0.4185,384,2618,88.52691113948822
568,0.172,410,2608,53.79898953437805
569,0.004,5602,2602,8.0
570,0.0185,446,2602,17.41421353816986
571,0.023,695,2599,18.82842707633972
572,2.4095,2341,2629,279.37972342967987
573,0.0525,782,2585,33.071067690849304
574,0.006,2347,2580,10.0
575,0.014,775,2581,13.656854152679443
576,0.043,852,2581,26.485281229019165
577,0.0195,1367,2572,17.41421353816986
578,1.2905,3963,2600,198.61017107963562
579,16.6445,3809,2639,1044.849846482277
580,0.1065,5427,2553,54.72792184352875
581,1.0685,2401,2575,142.46803641319275
